label,description,paper_file,runner_path,artifact_paths,seed,status
tab:model_comparison,Main SPY generator comparison (K*=3 CHMM rows + baselines),sections/results.tex,runners/headline/run_kstar3_headline.jl + run_baselines_and_cross_asset.jl + run_msgarch_baselines.jl + run_msgarch_reference.jl + run_quantgan_baseline.jl + run_smchmm_baseline.jl + run_chmm_t_shared_nu.jl + runners/baselines/run_garch_suite.jl + run_hsmm_ml.jl,results/kstar3_headline/ + results/garch_suite/GARCH_Suite.txt + results/msgarch_baselines/ + results/msgarch_reference/ + results/quantgan_baseline/ + results/smchmm_baseline/ + results/chmm_t_shared_nu/ + results/hsmm_ml/hsmm_ml_metrics.csv,20260420;20260422,current (HSMM-N row regenerated 2026-07-16 under the exact truncated-discrete Pareto ML update; live provenance restored)
tab:tail_index,Threshold-local Hill alpha per family at K*=3,sections/results.tex,runners/robustness/run_tail_index_families.jl,results/diagnostics/tail_index_families.txt,20260420,current
tab:cross_asset,Cross-asset Student-t copula on CHMM-N K*=3 marginals,sections/results.tex,runners/headline/run_cross_asset_sim_copula.jl + runners/cross_asset/run_cross_asset_rolling_copula.jl,results/cross_asset/Table-T3-Cross-Asset-Dependence.txt + results/cross_asset/Rolling_Copula_OoS.txt,20260422,current
tab:cond_var,Main regime-conditional VaR backtest (CHMM + contenders + MS-GARCH),sections/results.tex,runners/var_backtest/run_conditional_var_all_families.jl + run_engle_manganelli_dq.jl + run_msgarch_conditional_var.jl + run_var_inference_upgrade.jl + runners/baselines/run_filtered_bootstrap_var.jl + run_caviar_var.jl,results/conditional_var_all_families/conditional_var_panel.txt + results/diagnostics/engle_manganelli_dq.txt + results/msgarch_conditional_var/ + results/var_inference_upgrade/ + results/caviar_var/ + results/filtered_bootstrap_var/,20260420,current
tab:sector_panel,30-ticker sector panel rollup (penalised CHMM-t K=18),sections/sensitivity_appendix.tex,runners/headline/run_sector_panel.jl,results/sector_panel/sector_panel_summary.txt,20260420,verified (2026-07-16 spot-check: table values traced to artifact)
tab:spectral_rank,SPY per-mode ACF contribution K in {18;3;2},sections/sensitivity_appendix.tex,runners/spectral/run_spectral_rank.jl,results/diagnostics/spectral_rank.txt,20260420,current (regenerated 2026-07-16: converged multistart fits, analytic folded-normal moments, checked stationary solve)
tab:spectral_xticker,Cross-ticker spectral diagnostic K=3 and K=18 (converged multistart + optimizer-evidence CSV; lag-1 + horizon norms; IS + held-out OoS ACF criterion),sections/sensitivity_appendix.tex,runners/spectral/run_spectral_rank_cross_ticker.jl,results/diagnostics/spectral_rank_cross_ticker.txt + spectral_rank_cross_ticker_fits.csv,20260420,current (regenerated 2026-07-16: converged multistart, held-out OoS criterion)
fig:mode_capacity_ceiling,Best attainable m-mode geometric ACF approximation (capacity ceiling m=1;2;4;8;17),sections/results.tex + sections/sensitivity_appendix.tex,runners/spectral/run_mode_capacity_ceiling.jl,results/diagnostics/mode_capacity_ceiling.txt + mode_capacity_ceiling.csv,deterministic,current (added 2026-07-16)
tab:kurtosis_bootstrap,Block-bootstrap CIs on observed excess kurtosis,sections/sensitivity_appendix.tex,runners/robustness/run_kurtosis_bootstrap.jl,results/diagnostics/kurtosis_bootstrap.txt,20260420,current (regenerated 2026-07-16: raw bands descriptive; winsorized difference CI is the inferential object)
tab:kurtosis_ci_placement,Per-path simulated kurtosis vs L=20 CI,sections/sensitivity_appendix.tex,runners/robustness/run_kurtosis_ci_placement.jl,results/kurtosis_ci_placement/,20260420,verified (2026-07-16 spot-check: table values traced to artifact)
tab:chmm_t_shared_nu,Shared-nu Student-t ablation,sections/sensitivity_appendix.tex,runners/headline/run_chmm_t_shared_nu.jl,results/chmm_t_shared_nu/,20260420,current (library fitter baum_welch_student_t_shared_nu; regenerated bitwise-identical)
